text,label
"I love this product! It's fantastic.","positive"
"The experience was horrible and terrible.","negative"
"It's okay, nothing special.","neutral"
"Best purchase ever, highly recommend!","positive"
"Waste of money, very disappointed.","negative"
"Mediocre, wouldn't buy again.","neutral"
"Absolutely amazing! Exceeded my expectations.","positive"
"Terrible experience, would not recommend.","negative"
"It's decent, but I've seen better.","neutral"
"Loved it! Will buy again.","positive"
"Worst thing I’ve ever purchased.","negative"
"Not bad, not great, just okay.","neutral"
"Fantastic quality and great value!","positive"
"Do not waste your money on this.","negative"
"Average experience overall.","neutral"
"Incredible! I can't stop using it.","positive"
"Horrible service, never again.","negative"
"Meh, it’s alright.","neutral"
"Best investment I've made!","positive"
"Broke after one use, very disappointed.","negative"
"So-so, nothing to rave about.","neutral"
"Highly recommend this to everyone!","positive"
"Very poor craftsmanship, fell apart.","negative"
"It's just fine, not impressed but not upset.","neutral"
"Excellent in every way!","positive"
"A complete waste, I regret buying this.","negative"
"Mediocre, wouldn’t repurchase.","neutral"
"Absolutely love it!","positive"
"Hated every part of it.","negative"
"Pretty average, nothing stood out.","neutral"
"Great quality and works perfectly!","positive"
"Disgusting! The worst ever.","negative"
"It’s okay, does the job.","neutral"
"Amazing product, very satisfied!","positive"
"So disappointed, I expected better.","negative"
"Fair enough, nothing special.","neutral"
"Couldn’t be happier with this purchase!","positive"
"Avoid this at all costs!","negative"
"Decent product, but not exceptional.","neutral"
"Top-notch! I’m thrilled.","positive"
"Complete disaster, utterly useless.","negative"
"Works fine, nothing outstanding.","neutral"
"This is a game changer!","positive"
"I feel cheated, terrible purchase.","negative"
"It's alright, does what it needs to.","neutral"
"Loved every second of using it!","positive"
"Not what I expected, very poor quality.","negative"
"Not great, not terrible.","neutral"
"Perfect in every way!","positive"
"Worst customer service ever.","negative"
"Acceptable quality, but not the best.","neutral"
"Exceeded all my expectations!","positive"
"Really let down by this product.","negative"
"Okay for the price, but nothing amazing.","neutral"
"Superb! Couldn't be happier.","positive"
"Total ripoff, don’t buy.","negative"
"It's fine, meets my needs.","neutral"
"Great experience, loved it!","positive"
"Horrendous! Stay away.","negative"
"Not the worst, but not great either.","neutral"
"The best decision I ever made!","positive"
"Faulty item, didn’t work properly.","negative"
"Could be better, could be worse.","neutral"
"Perfectly satisfied!","positive"
"The description was misleading, very bad.","negative"
"Serves its purpose, nothing more.","neutral"
"Fantastic customer support and product!","positive"
"Shipping was slow and the product was bad.","negative"
"Middle of the road, nothing special.","neutral"
"A must-buy for everyone!","positive"
"I regret buying this, awful quality.","negative"
"It’s an average product overall.","neutral"
"Superb craftsmanship, I love it!","positive"
"Worst experience of my life.","negative"
"It does what it’s supposed to, nothing extra.","neutral"
"Completely worth the money!","positive"
"Not worth a single penny.","negative"
"Okay but I won’t buy again.","neutral"
"Life-changing, I can’t believe how good it is!","positive"
"Broke within days, absolute garbage.","negative"
"Pretty standard, nothing remarkable.","neutral"
"Brilliant! Couldn’t ask for more.","positive"
"Unusable and a complete scam.","negative"
"Functional but lacks innovation.","neutral"
"So happy with this product!","positive"
"I want my money back, terrible purchase.","negative"
"Does the job, but not well.","neutral"
"Premium quality, best decision ever!","positive"
"Hated everything about it.","negative"
"It’s an okay product, nothing to get excited about.","neutral"
"Five stars! Exceeded my expectations.","positive"
"Absolutely terrible, beyond disappointed.","negative"
"It’s decent, wouldn’t rave about it though.","neutral"
"Completely satisfied with my purchase!","positive"
"A nightmare from start to finish.","negative"
"Average, as expected.","neutral"
"This has made my life so much easier!","positive"
"Defective, had to return it.","negative"
"Neutral feelings, doesn’t stand out.","neutral"
